imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate	...32
mr_images/5_b.png	mr_images/5_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	186	186	141	832.1682225000113	NA	NA	NA	NA	832.7015356002375	832.7015356002375	right	0	3.036757300142199	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_a.png	mr_images/1_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	187	187	10	835.7679281998426	NA	NA	NA	NA	836.3054265999235	836.3054265999235	left	0	3.220660500228405	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_b.png	mr_images/12_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	188	188	66	839.5548088001087	NA	NA	NA	NA	840.0835215998814	840.0835215998814	left	0	3.6240469999611378	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_a.png	mr_images/4_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	189	189	99	843.7334229000844	NA	NA	NA	NA	844.2665870999917	844.2665870999917	right	0	2.494133699685335	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_a.png	mr_images/3_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	190	190	83	846.7828973000869	NA	NA	NA	NA	847.3162238001823	847.3162238001823	right	0	4.53583010006696	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_b.png	mr_images/11_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	191	191	38	851.8821882000193	NA	NA	NA	NA	852.4155069999397	852.4155069999397	left	0	1.98495850013569	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_b.png	mr_images/3_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	192	192	88	854.4319040002301	NA	NA	NA	NA	854.9650981002487	854.9650981002487	None	0	NA	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_a.png	mr_images/6_b_z_45.png	right	cw	45	NA	NA	NA	NA	0	193	193	144	859.9477881998755	NA	NA	NA	NA	NA	860.4851465998217	right	1	3.0752498996444046	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_a.png	mr_images/9_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	194	194	201	863.5848460001871	NA	NA	NA	NA	NA	864.1305384002626	right	0	2.1489888997748494	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_b.png	mr_images/4_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	195	195	118	866.2971974001266	NA	NA	NA	NA	866.8301305999048	866.8301305999048	left	0	2.1211945000104606	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_a.png	mr_images/5_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	196	196	131	868.9797896002419	NA	NA	NA	NA	869.5135184000246	869.5135184000246	left	1	2.361756899859756	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_a.png	mr_images/4_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	197	197	103	871.8961185999215	NA	NA	NA	NA	872.4462005998939	872.4462005998939	right	0	2.9040310997515917	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_a.png	mr_images/6_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	198	198	154	875.3789401999675	NA	NA	NA	NA	875.9120694999583	875.9120694999583	left	0	2.126569399610162	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_b.png	mr_images/4_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	199	199	115	878.0620125001296	NA	NA	NA	NA	878.5954100000672	878.5954100000672	right	0	2.105986400041729	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_b.png	mr_images/11_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	200	200	42	880.7282548001967	NA	NA	NA	NA	881.262315500062	881.262315500062	left	0	2.045886099804193	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_b.png	mr_images/7_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	201	201	188	883.3278176002204	NA	NA	NA	NA	883.8491163998842	883.8491163998842	left	0	2.178474399726838	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	202	202	211	886.0608677999116	NA	NA	NA	NA	NA	886.5941714998335	right	0	4.2327216998673975	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_b.png	mr_images/7_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	203	203	183	890.8435615999624	NA	NA	NA	NA	891.3765112999827	891.3765112999827	right	0	2.816090799868107	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_b.png	mr_images/5_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	204	204	134	894.2097734999843	NA	NA	NA	NA	894.7429371001199	894.7429371001199	left	0	1.1580296996980906	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_b.png	mr_images/3_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	205	205	92	895.9262644001283	NA	NA	NA	NA	896.4594395998865	896.4594395998865	left	0	1.8482817998155951	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
