clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#FF6F00	#FFF8E1	#FFB300	#FFD54F	#880E4F	#000000	#D81B60	#F06292	amber	pink	l_rand2	clr2	none	left	#FCE4EC	#EDE7F6	#FCE4EC	#D81B60	NA	NA	NA	NA	NA	0	44	44	103	NA	NA	NA	left	1	2.83377201757743	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#43A047	#1B5E20	#E8F5E9	#81C784	#00897B	#004D40	#000000	#4DB6AC	green	teal	l_rand1	clr3	none	right	#E1F5FE	#E0F2F1	#004D40	#E0F2F1	NA	NA	NA	NA	NA	0	45	45	98	NA	NA	NA	left	1	2.50839534798521	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#43A047	#1B5E20	#E8F5E9	#81C784	#00ACC1	#006064	#000000	#4DD0E1	green	cyan	l_rand1	clr3	low	left	#E0F7FA	#80DEEA	#006064	#E0F7FA	NA	NA	NA	NA	NA	0	46	46	39	NA	NA	NA	left	0	1.99253557895193	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1B5E20	#43A047	#81C784	#E8F5E9	#004D40	#000000	#4DB6AC	#E0F2F1	green	teal	l_up	clr2	none	right	#7CB342	#00897B	#00897B	#4DB6AC	NA	NA	NA	NA	NA	0	47	47	115	NA	NA	NA	right	1	1.48325901548727	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#004D40	#E0F2F1	#00897B	#4DB6AC	#E65100	#000000	#FB8C00	#FFB74D	lime	orange	l_rand2	clr2	low	right	#FFCC80	#FFF3E0	#FFF3E0	#FB8C00	NA	NA	NA	NA	NA	0	48	48	47	NA	NA	NA	right	1	2.36479733410407	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#880E4F	#FCE4EC	#D81B60	#F06292	#33691E	#000000	#7CB342	#AED581	pink	l_green	l_rand2	clr2	high	left	#F1F8E9	#DCEDC8	#F1F8E9	#7CB342	NA	NA	NA	NA	NA	0	49	49	40	NA	NA	NA	left	0	1.72957080750377	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1B5E20	#E8F5E9	#43A047	#81C784	#006064	#000000	#00ACC1	#4DD0E1	green	cyan	l_rand2	clr2	none	left	#E0F7FA	#E8F5E9	#E0F7FA	#00ACC1	NA	NA	NA	NA	NA	0	50	50	102	NA	NA	NA	left	1	1.52349179611891	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#4A148C	#8E24AA	#BA68C8	#F3E5F5	#0D47A1	#000000	#64B5F6	#E3F2FD	purple	blue	l_up	clr2	none	left	#1E88E5	#00ACC1	#1E88E5	#64B5F6	NA	NA	NA	NA	NA	0	51	51	110	NA	NA	NA	left	1	1.37576475596172	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#4A148C	#F3E5F5	#8E24AA	#BA68C8	#827717	#F9FBE7	#000000	#DCE775	purple	lime	l_rand2	clr3	low	left	#C0CA33	#D4E157	#F9FBE7	#C0CA33	NA	NA	NA	NA	NA	0	52	52	55	NA	NA	NA	right	1	2.53748261243454	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#3949AB	#1A237E	#E8EAF6	#7986CB	#7CB342	#000000	#F1F8E9	#AED581	indigo	l_green	l_rand1	clr2	high	left	#33691E	#558B2F	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	53	53	24	NA	NA	NA	left	0	1.05931082825526	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#3949AB	#1A237E	#E8EAF6	#7986CB	#FB8C00	#000000	#FFF3E0	#FFB74D	indigo	orange	l_rand1	clr2	low	right	#F57C00	#E65100	#E65100	#FFF3E0	NA	NA	NA	NA	NA	0	54	54	26	NA	NA	NA	left	0	1.51716756821028	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#F3E5F5	#BA68C8	#8E24AA	#4A148C	#E0F2F1	#000000	#00897B	#004D40	purple	lime	l_down	clr2	low	left	#4DB6AC	#B2DFDB	#4DB6AC	#00897B	NA	NA	NA	NA	NA	0	55	55	6	NA	NA	NA	left	0	1.73776842136518	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E0F2F1	#4DB6AC	#00897B	#004D40	#FBE9E7	#000000	#F4511E	#BF360C	lime	d_orange	l_down	clr2	low	right	#FF5722	#FF8A65	#FF8A65	#F4511E	NA	NA	NA	NA	NA	0	56	56	9	NA	NA	NA	right	1	1.98437042947277	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FFFDE7	#FFF176	#FDD835	#F57F17	#E0F7FA	#4DD0E1	#000000	#006064	yellow	cyan	l_down	clr3	none	left	#00ACC1	#1E88E5	#4DD0E1	#00ACC1	NA	NA	NA	NA	NA	0	57	57	87	NA	NA	NA	left	1	1.55778662918485	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#43A047	#1B5E20	#E8F5E9	#81C784	#00897B	#004D40	#000000	#4DB6AC	green	teal	l_rand1	clr3	high	right	#B2DFDB	#E0F2F1	#004D40	#E0F2F1	NA	NA	NA	NA	NA	0	58	58	33	NA	NA	NA	right	1	1.83333594088559	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#00ACC1	#006064	#E0F7FA	#4DD0E1	#43A047	#1B5E20	#000000	#81C784	cyan	green	l_rand1	clr3	low	left	#E8F5E9	#A5D6A7	#1B5E20	#E8F5E9	NA	NA	NA	NA	NA	0	59	59	36	NA	NA	NA	left	1	1.07095854194252	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#0D47A1	#1E88E5	#64B5F6	#E3F2FD	#FF6F00	#FFB300	#000000	#FFF8E1	blue	amber	l_up	clr3	low	right	#FFC107	#FFD54F	#FFB300	#FFD54F	NA	NA	NA	NA	NA	0	60	60	77	NA	NA	NA	left	1	1.56457962768036	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E8F5E9	#81C784	#43A047	#1B5E20	#FFEBEE	#000000	#E53935	#B71C1C	green	red	l_down	clr2	none	right	#FFB74D	#E57373	#E57373	#E53935	NA	NA	NA	NA	NA	0	61	61	85	NA	NA	NA	right	1	1.40639568149927	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#3E2723	#6D4C41	#A1887F	#EFEBE9	#006064	#00ACC1	#000000	#E0F7FA	brown	cyan	l_up	clr3	low	left	#4DD0E1	#B2EBF2	#00ACC1	#4DD0E1	NA	NA	NA	NA	NA	0	62	62	76	NA	NA	NA	right	1	1.89213119823835	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FDD835	#F57F17	#FFFDE7	#FFF176	#FFB300	#FF6F00	#000000	#FFD54F	yellow	amber	l_rand1	clr3	none	left	#FFF8E1	#F9FBE7	#FF6F00	#FFF8E1	NA	NA	NA	NA	NA	0	63	63	95	NA	NA	NA	right	1	2.10781715153135	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#01579B	#E1F5FE	#039BE5	#4FC3F7	#FF6F00	#FFF8E1	#000000	#FFD54F	l_blue	amber	l_rand2	clr3	low	left	#FFB300	#FF8F00	#FFF8E1	#FFB300	NA	NA	NA	NA	NA	0	64	64	56	NA	NA	NA	right	1	1.64659891458112	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#3949AB	#1A237E	#E8EAF6	#7986CB	#7CB342	#000000	#F1F8E9	#AED581	indigo	l_green	l_rand1	clr2	none	left	#33691E	#004D40	#33691E	#F1F8E9	NA	NA	NA	NA	NA	0	65	65	94	NA	NA	NA	right	1	1.76844953349209	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#F3E5F5	#BA68C8	#8E24AA	#4A148C	#FBE9E7	#FFB74D	#000000	#BF360C	purple	d_orange	l_down	clr3	low	left	#F4511E	#D84315	#FF8A65	#F4511E	NA	NA	NA	NA	NA	0	66	66	16	NA	NA	NA	right	1	1.12619446472614	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
