imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate
mr_images/1_b.png	mr_images/1_a_z_315.png	right	ccw	45	0,291161908884533	NA	NA	NA	0	158	158	14	519.49527399987	NA	NA	NA	NA	660.892165299971	660.892165299971	left	1	1.36430927002802	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_a.png	mr_images/11_b_z_315.png	right	ccw	45	0,218008613563143	NA	NA	NA	0	159	159	26	522.728053099942	NA	NA	NA	NA	450.654626300093	450.654626300093	left	1	1.83477533962577	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_a.png	mr_images/12_b_z_225.png	right	ccw	135	0,449250000412576	NA	NA	NA	0	160	160	58	524.911036300007	NA	NA	NA	NA	286.997568199877	286.997568199877	left	0	3.32623959644698	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_a.png	mr_images/7_a_z_90.png	left	cw	90	0,740542722051032	NA	NA	NA	0	161	161	173	527.060736699961	NA	NA	NA	NA	608.615855200216	608.615855200216	right	1	4.91556144314818	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_a.png	mr_images/11_a_z_135.png	left	cw	135	0,724927988252603	NA	NA	NA	0	162	162	33	529.710372100119	NA	NA	NA	NA	631.279876200017	631.279876200017	left	1	3.39685103241354	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/1_b.png	mr_images/1_b_z_315.png	left	ccw	45	0,412457370548509	NA	NA	NA	0	163	163	15	532.593362600077	NA	NA	NA	NA	418.998388899956	418.998388899956	left	1	3.60531012248248	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/3_a.png	mr_images/3_a_z_90.png	left	cw	90	0,392448310158215	NA	NA	NA	0	164	164	77	536.226186499931	NA	NA	NA	NA	533.160229400266	533.160229400266	right	0	4.1686104117427	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/5_a.png	mr_images/5_b_z_135.png	right	cw	135	0,928460427210666	NA	NA	NA	0	165	165	128	538.10920510022	NA	NA	NA	NA	331.160638100002	331.160638100002	left	0	2.43722613090649	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/9_b.png	mr_images/9_a_z_90.png	right	cw	90	0,519962857360952	NA	NA	NA	0	166	166	208	540.075627900194	NA	NA	NA	NA	165.514808299951	165.514808299951	right	1	3.53273862078786	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/1_a.png	mr_images/1_b_z_315.png	right	ccw	45	0,0701471870997921	NA	NA	NA	0	167	167	2	541.875362900086	NA	NA	NA	NA	298.525709399954	298.525709399954	left	0	2.67264638333582	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_b.png	mr_images/12_b_z_90.png	left	cw	90	0,157318613142706	NA	NA	NA	0	168	168	65	543.625126600266	NA	NA	NA	NA	345.819198499899	345.819198499899	left	1	2.37110577174462	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/4_a.png	mr_images/4_a_z_315.png	left	ccw	45	0,670445540104993	NA	NA	NA	0	169	169	99	547.328830900136	NA	NA	NA	NA	614.998403099831	614.998403099831	right	0	2.86222145189531	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_b.png	mr_images/12_a_z_135.png	right	cw	135	0,925099365762435	NA	NA	NA	0	170	170	68	549.424333900213	NA	NA	NA	NA	309.990802799817	309.990802799817	left	0	2.60517659215257	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_a.png	mr_images/12_b_z_45.png	right	cw	45	0,8906430414645	NA	NA	NA	0	171	171	48	551.190764899831	NA	NA	NA	NA	271.846192900091	271.846192900091	right	1	2.04317388078198	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_a.png	mr_images/7_a_z_45.png	left	cw	45	0,292316415463574	NA	NA	NA	0	172	172	169	553.877826299984	NA	NA	NA	NA	460.689503700007	460.689503700007	left	1	1.27905273362994	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_a.png	mr_images/12_a_z_315.png	left	ccw	45	0,204221902997233	NA	NA	NA	0	173	173	51	556.157486100216	NA	NA	NA	NA	234.58461710019	234.58461710019	left	0	2.99247666033917	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/6_a.png	mr_images/6_a_z_315.png	left	ccw	45	0,362140370183624	NA	NA	NA	0	174	174	147	557.494117500261	NA	NA	NA	NA	394.513001199812	394.513001199812	left	1	2.39404714941047	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
