imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...31
mr_images/9_a.png	mr_images/9_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	173	173	198	825.1337551999604	NA	NA	NA	NA	825.6670053999405	825.6670053999405	left	0	2.9107428999850526	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	174	174	166	828.5999709999887	NA	NA	NA	NA	829.1665626999456	829.1665626999456	left	0	3.40361669997219	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_a.png	mr_images/4_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	175	175	99	832.5993914999999	NA	NA	NA	NA	833.135154599906	833.135154599906	right	0	1.381547199911438	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_a.png	mr_images/5_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	176	176	123	834.5366902999813	NA	NA	NA	NA	835.0656090999255	835.0656090999255	right	0	2.110972800059244	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	177	177	167	837.1987743999343	NA	NA	NA	NA	837.7320414999267	837.7320414999267	right	0	2.8365093000466004	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_a.png	mr_images/9_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	178	178	201	840.5982712999685	NA	NA	NA	NA	841.1351676000049	841.1351676000049	right	0	3.962124800076708	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_b.png	mr_images/3_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	179	179	85	845.1186416998971	NA	NA	NA	NA	845.664299499942	845.664299499942	right	0	2.48228100000415	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_b.png	mr_images/3_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	180	180	93	848.1639169999398	NA	NA	NA	NA	848.6990653999383	848.6990653999383	right	0	2.0329521000385284	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_b.png	mr_images/1_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	181	181	15	850.7512057999847	NA	NA	NA	NA	851.2968528999481	851.2968528999481	right	0	2.0241457999218255	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_a.png	mr_images/6_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	182	182	155	853.3467757999897	NA	NA	NA	NA	853.8799531999975	853.8799531999975	right	0	2.5791297000832856	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_a.png	mr_images/7_a_z_135.png	left	cw	135	NA	NA	NA	NA	0	183	183	177	856.4794368000003	NA	NA	NA	NA	857.0160608999431	857.0160608999431	right	0	3.4962255000136793	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
